timestamp;actions
1;keySensitiveBolt@1.0:
515;keySensitiveBolt@1.0:
389;keySensitiveBolt@1.0:
263;keySensitiveBolt@1.0:
138;keySensitiveBolt@1.0:
12;keySensitiveBolt@1.0:
525;keySensitiveBolt@1.0:
399;keySensitiveBolt@1.0:
273;keySensitiveBolt@1.0:
148;keySensitiveBolt@1.0:
22;keySensitiveBolt@1.0:
410;keySensitiveBolt@1.0:
284;keySensitiveBolt@1.0:
159;keySensitiveBolt@1.0:
33;keySensitiveBolt@1.0:
420;keySensitiveBolt@1.0:
294;keySensitiveBolt@1.0:
169;keySensitiveBolt@1.0:
43;keySensitiveBolt@1.0:
431;keySensitiveBolt@1.0:
305;keySensitiveBolt@1.0:
180;keySensitiveBolt@1.0:
54;keySensitiveBolt@1.0:
441;keySensitiveBolt@1.0:
315;keySensitiveBolt@1.0:
190;keySensitiveBolt@1.0:
64;keySensitiveBolt@1.0:
452;keySensitiveBolt@1.0:
326;keySensitiveBolt@1.0:
200;keySensitiveBolt@1.0:
75;keySensitiveBolt@1.0:
462;keySensitiveBolt@1.0:
336;keySensitiveBolt@1.0:
211;keySensitiveBolt@1.0:
85;keySensitiveBolt@1.0:
473;keySensitiveBolt@1.0:
347;keySensitiveBolt@1.0:
221;keySensitiveBolt@1.0:
96;keySensitiveBolt@1.0:
483;keySensitiveBolt@1.0:
357;keySensitiveBolt@1.0:
232;keySensitiveBolt@1.0:
106;keySensitiveBolt@1.0:
494;keySensitiveBolt@1.0:
368;keySensitiveBolt@1.0:
242;keySensitiveBolt@1.0:
117;keySensitiveBolt@1.0:
504;keySensitiveBolt@1.0:
378;keySensitiveBolt@1.0:
252;keySensitiveBolt@1.0:
127;keySensitiveBolt@1.0:
timestamp;actions
1;keySensitiveBolt@1.0:
321;keySensitiveBolt@3.0:
259;keySensitiveBolt@3.0:
197;keySensitiveBolt@3.0:
135;keySensitiveBolt@3.0:
73;keySensitiveBolt@3.0:
393;keySensitiveBolt@3.0:
11;keySensitiveBolt@1.0:
331;keySensitiveBolt@3.0:
269;keySensitiveBolt@3.0:
207;keySensitiveBolt@3.0:
145;keySensitiveBolt@3.0:
83;keySensitiveBolt@3.0:
403;keySensitiveBolt@3.0:
21;keySensitiveBolt@1.0:
341;keySensitiveBolt@3.0:
279;keySensitiveBolt@3.0:
217;keySensitiveBolt@3.0:
156;keySensitiveBolt@3.0:
413;keySensitiveBolt@3.0:
94;keySensitiveBolt@3.0:
351;keySensitiveBolt@3.0:
32;keySensitiveBolt@1.0:
290;keySensitiveBolt@3.0:
228;keySensitiveBolt@3.0:
166;keySensitiveBolt@3.0:
104;keySensitiveBolt@3.0:
424;keySensitiveBolt@3.0:
42;keySensitiveBolt@1.0:
362;keySensitiveBolt@3.0:
300;keySensitiveBolt@3.0:
238;keySensitiveBolt@3.0:
